Name,Project Accession,Publication Date,Authors,Author Text,Journal,Related Concepts,Link,Description,Abstract,PDF,Data Types,Added By,Field 14
"The Limits, Capabilities, and Potential for Life Detection with MinION Sequencing in a Paleochannel Mars Analog",PRJNA544288,2/3/2020,"Catherine Maggiori,Lyle Whyte",,,"DNA,Biosignatures,Mars analog,Paleochannels,Life detection,MinION sequencing",https://www.liebertpub.com/doi/pdf/10.1089/ast.2018.1964,,"No instrument capable of direct life detection has been included on a mission payload to Mars since NASA's Viking missions in the 1970s. This prevents us from discovering whether life is or ever was present on Mars. DNA is an ideal target biosignature since it is unambiguous, nonspecific, and readily detectable with nanopore sequencing. Here, we present a proof-of-concept utilization of the Oxford Nanopore Technologies (ONT) MinION sequencer for direct life detection and show how it can complement results from established space mission instruments. We used nanopore sequencing data from the MinION to detect and characterize the microbial life in a set of paleochannels near Hanksville, UT, with supporting data from X-ray diffraction, reflectance spectroscopy, Raman spectroscopy, and Life Detector Chip (LDChip) microarray immunoassay analyses. These paleochannels are analogs to martian sinuous ridges. The MinION-generated metagenomes reveal a rich microbial community dominated by bacteria and containing radioresistant, psychrophilic, and halophilic taxa. With spectral data and LDChip immunoassays, these metagenomes were linked to the surrounding Mars analog environment and potential metabolisms (e.g., methane production and perchlorate reduction). This shows a high degree of synergy between these techniques for detecting and characterizing biosignatures. We also resolved a prospective lower limit of ∼0.001 ng of DNA required for successful sequencing. This work represents the first determination of the MinION's DNA detection limits beyond ONT recommendations and the first whole metagenome analysis of a sinuous ridge analog.",,,Suraj Patel,
,PRJNA544320,,,,,"Tissue sample,Fecal sample,CRC mice,unclassified sequences,Metagenome,mouse gut metagenome",,,Tissue and fecal samples from GI tract of CRC mice in collaboration with Mayo Clinic,,,Suraj Patel,
,PRJDB5504,,,,,"red tide,unclassified sequences,Metagenome,ecological metagenomes,marine metagenome",,,"We developed the metagenomic database of microbial DNA to identify indicator microorganisms used for predicting the occurrence of red tide, and develop marine environment assessment technology.",,,Suraj Patel,
,PRJNA543961,,,,,"Rhizosphere,root endosphere,greenhouse,unclassified sequences,Metagenome,ecological metagenomes,rhizosphere metagenome",,,Rhizosphere and root endosphere microbial communties analysis in greenhouse conditions from Frantoio and Picual olive cultivars with or without Verticillium dahliae inoculation in a 30 days period.,,,Suraj Patel,
,PRJNA544043,,,,,"GujingTribute pitmud,unclassified sequences,Metagenome,ecological metagenomes,mud metagenome",,,to study in culturable unknown species in GujingTribute pitmud,,,Suraj Patel,
,PRJNA544045,,,,,"authigenic carbonates,unclassified sequences,Metagenome,ecological metagenomes,marine sediment metagenome",,,Microbial communities from authigenic carbonates.,,,Suraj Patel,
Effects of subchronic exposure of mercuric chloride on intestinal histology and microbiota in the cecum of chicken,PRJNA543713,30/1/2020,"Changming Zhou,Xiaoquan Guo","a Jiangxi Provincial Key Laboratory for Animal Health, College of Animal Science and Technology, Jiangxi Agricultural University, Nanchang, Jiangxi, China b Animal Husbandry and Veterinary Department of Ganzhou, Jiangxi, China",ScienceDirect,"Heavy metal pollution,Mercury,chicken,gut microbiota,16S rRNA,Metabolic disorders",https://www.sciencedirect.com/science/article/abs/pii/S0147651319312515,,"This study aimed to investigate the influences of mercuric chloride (HgCl2, 250 ppm, drink water) on the growth performance, cecal morphology and microbiota of chickens (n = 60) after 30, 60, and 90 days of exposure. A control group of sixty chickens received water free of HgCl2. Our results suggested that mercury exposure reduced the body weight and changed the cecal morphology of chickens after the 90-day treatment. Furthermore, sequence analysis of 16 S rRNA gene revealed that the diversity and composition of cecal microbiota in chickens differed between the control and exposure group. At the phylum level, Proteobacteria and Tenericutes phyla both significantly increased in mercury exposure groups on day 30 while only Tenericutes phyla significantly increased on day 60. At the genus level, we observed that the change in microbial populations are most dramatic on day 30. Besides, compared with the control group, the genus Prevotellaceae_UCG-001 significantly increased in exposure group on day 30 but showed no significant difference on day 60, whereas there was a significant decrease on day 90. PICRUSt analysis revealed potential metabolic changes, such as Bacterial invasion of epithelial cells and Metabolism of xenobiotics, associated with mercury exposure in chickens. Taken together, the data show that subchronic exposure to mercury not only affected the growth and development but also caused the dysbiosis of gut microbiota, which may further induced metabolic disorders in chickens.",,,Suraj Patel,
Intraspecific Phylogenetic Analysis of Siberian Woolly Mammoths Using Complete Mitochondrial Genomes,PRJNA16317,17/6/2008,"M Thomas P Gilbert,Stephan C. Schuster","Centre for Ancient Genetics, University of Copenhagen, Universitetsparken 15, DK-2100 Copenhagen, Denmark. mtpgilbert@gmail.com",Proceedings of the National Academy of Sciences of the United States of America,"mtDNA genome,DNA,clade,Mammoth",https://www.pnas.org/content/105/24/8327.long,,"We report five new complete mitochondrial DNA (mtDNA) genomes of Siberian woolly mammoth (Mammuthus primigenius), sequenced with up to 73-fold coverage from DNA extracted from hair shaft material. Three of the sequences present the first complete mtDNA genomes of mammoth clade II. Analysis of these and 13 recently published mtDNA genomes demonstrates the existence of two apparently sympatric mtDNA clades that exhibit high interclade divergence. The analytical power afforded by the analysis of the complete mtDNA genomes reveals a surprisingly ancient coalescence age of the two clades, approximately 1-2 million years, depending on the calibration technique. Furthermore, statistical analysis of the temporal distribution of the (14)C ages of these and previously identified members of the two mammoth clades suggests that clade II went extinct before clade I. Modeling of protein structures failed to indicate any important functional difference between genomes belonging to the two clades, suggesting that the loss of clade II more likely is due to genetic drift than a selective sweep.",,Metagenomic,Aqib Rahim,
Whole-genome Shotgun Sequencing of Mitochondria From Ancient Hair Shafts,PRJNA16317,28/9/2007,"M Thomas P Gilbert,Stephan C. Schuster","Centre for Ancient Genetics, University of Copenhagen, Universitetsparken 15, DK-2100 Copenhagen, Denmark.",Science,"DNA,Bones,Siberia",https://science.sciencemag.org/content/317/5846/1927.long,,"Although the application of sequencing-by-synthesis techniques to DNA extracted from bones has revolutionized the study of ancient DNA, it has been plagued by large fractions of contaminating environmental DNA. The genetic analyses of hair shafts could be a solution: We present 10 previously unexamined Siberian mammoth (Mammuthus primigenius) mitochondrial genomes, sequenced with up to 48-fold coverage. The observed levels of damage-derived sequencing errors were lower than those observed in previously published frozen bone samples, even though one of the specimens was >50,000 14C years old and another had been stored for 200 years at room temperature. The method therefore sets the stage for molecular-genetic analysis of museum collections.",,Metagenomic,Aqib Rahim,
Metagenomics to Paleogenomics: Large-Scale Sequencing of Mammoth DNA,PRJNA16317,20/1/2006,"Hendrik N. Poinar,Stephan C. Schuster","McMaster Ancient DNA Center, McMaster University, 1280 Main Street West, Hamilton ON, L8S 4L9 Canada. poinarh@mcmaster.ca",Science,"Metagenome,DNA,Environmental pollution,Mammoth,Paleogenomics",https://science.sciencemag.org/content/311/5759/392.long,,"We sequenced 28 million base pairs of DNA in a metagenomics approach, using a woolly mammoth (Mammuthus primigenius) sample from Siberia. As a result of exceptional sample preservation and the use of a recently developed emulsion polymerase chain reaction and pyrosequencing technique, 13 million base pairs (45.4%) of the sequencing reads were identified as mammoth DNA. Sequence identity between our data and African elephant (Loxodonta africana) was 98.55%, consistent with a paleontologically based divergence date of 5 to 6 million years. The sample includes a surprisingly small diversity of environmental DNAs. The high percentage of endogenous DNA recoverable from this single mammoth would allow for completion of its genome, unleashing the field of paleogenomics.",,Metagenomic,Aqib Rahim,
Metagenomic Characterization of Chesapeake Bay Virioplankton,PRJNA16522,5/10/2007,"Shellie R. Bench,K Eric WOmmack","College of Marine and Earth Studies, University of Delaware, Newark, Delaware 19711, USA.",American Society for Microbiology,"Virus,Biosphere,Chesapeake bay,Viroplankton,marine",https://aem.asm.org/content/73/23/7629.long,,"Viruses are ubiquitous and abundant throughout the biosphere. In marine systems, virus-mediated processes can have significant impacts on microbial diversity and on global biogeocehmical cycling. However, viral genetic diversity remains poorly characterized. To address this shortcoming, a metagenomic library was constructed from Chesapeake Bay virioplankton. The resulting sequences constitute the largest collection of long-read double-stranded DNA (dsDNA) viral metagenome data reported to date. BLAST homology comparisons showed that Chesapeake Bay virioplankton contained a high proportion of unknown (homologous only to environmental sequences) and novel (no significant homolog) sequences. This analysis suggests that dsDNA viruses are likely one of the largest reservoirs of unknown genetic diversity in the biosphere. The taxonomic origin of BLAST homologs to viral library sequences agreed well with reported abundances of cooccurring bacterial subphyla within the estuary and indicated that cyanophages were abundant. However, the low proportion of Siphophage homologs contradicts a previous assertion that this family comprises most bacteriophage diversity. Identification and analyses of cyanobacterial homologs of the psbA gene illustrated the value of metagenomic studies of virioplankton. The phylogeny of inferred PsbA protein sequences suggested that Chesapeake Bay cyanophage strains are endemic in that environment. The ratio of psbA homologous sequences to total cyanophage sequences in the metagenome indicated that the psbA gene may be nearly universal in Chesapeake Bay cyanophage genomes. Furthermore, the low frequency of psbD homologs in the library supports the prediction that Chesapeake Bay cyanophage populations are dominated by Podoviridae.

Viruses are the most numerically abundant biological entities in marine ecosystems (9, 49, 62), and the ecological importance of marine viruses is supported by a growing body of research (for reviews, see references 61, 67, and 73). Viruses are an important component of the marine microbial loop (7, 12, 30, 62, 69), and it is likely that all members of marine microbial communities (protists, microalgae, and prokaryotes) are prone to viral infection (17). Marine viral lysis impacts global carbon cycles by enhancing dissolved organic matter recycling, decreasing transfer of carbon to higher trophic levels, and exporting particulate organic carbon from the photic zone (30, 41, 42, 61). For example, viruses can significantly influence concentrations of micronutrients, such as iron, by cell lysis (47) or by acting as nucleation centers for iron adsorption and precipitation (26).

In addition to direct impacts on ocean biogeochemistry, the viral infection process may significantly alter the structure of microbial host communities. Virus-mediated changes in community genetic diversity are induced by selective infection and lysis of abundant community members (45, 63). Thus, host-selective viral infection may increase the overall clonal diversity of microbial host populations by removing numerically dominant community members from particular niches. Viruses, particularly bacteriophages, can also directly alter the phenotypes of host cells through genetic exchange (specific and generalized transduction) (44) or through the cryptic infectious state known as lysogeny (50), which has been observed in many marine ecosystems, especially under conditions which are unfavorable for host growth (40, 70). Because viral nucleic acids are incorporated into the host genome, lysogeny can lead to phage-mediated phenotypic conversion of prokaryotic hosts (44, 50).

The effects of viral infection in marine ecosystems emerge from the collective phage-host interactions in marine microbial communities. However, with the exception of a few well-known bacteriophages (e.g., T4, T7, λ, and P20), relatively little is known about the genetic capabilities and phenotypic characteristics of the vast majority of viruses. Whole-genome sequence data for a small collection of marine bacteriophage-host systems have revealed that the phages carry an unusually high proportion of unknown genes and have previously unexpected gene functions, such as involvement in phosphate uptake (e.g., phoH in Roseophage SIO1) (53) and photosynthesis (e.g., psbA in marine cyanophage) (38, 58, 59). Genomic investigations of phycoviruses have also revealed a high proportion of unknown genes and unusual functional genes, such as genes involved in the induction of apoptosis (71). Although investigations of single phage-host systems have provided unparalleled insights into these interactions, a broader understanding of virioplankton composition and diversity can come only from cultivation-independent approaches.

Characterization of whole viral assemblages based on pulsed-field gel electrophoresis (PFGE) has indicated that marine virioplankton community diversity varies dynamically in response to both seasonal and spatial gradients in ecosystem properties (74, 75) and that these changes mirror those in host bacterial communities (33). Higher-resolution surveys using marker genes (e.g., g20 and DNA polymerase genes) within specific lineages of virioplankton have uncovered extraordinary diversity (23, 77), yet some viral strains have been found in nearly all marine environments (15, 56, 57). While PFGE and marker genotyping approaches have been critical in the development of a foundation for synecological studies of virioplankton, they are limited either in resolution (PFGE) or breadth (marker genotyping).

Characterization of microbial communities using high-throughput DNA sequencing and bioinformatic approaches (i.e., metagenomics) addresses some of the limitations of these approaches and provides a high-resolution view of microbial diversity, as well as the potential functional capabilities within these assemblages. Based on the few metagenome surveys of marine viral communities completed to date, a consensus is emerging that virioplankton communities are extraordinarily diverse and contain a high proportion of unknown sequences (27). Against the typical backdrop of over 60% unknown sequences, viral metagenome libraries tend to contain a collection of gene homologs that are relatively distant from better-known representatives in bacterial genomes (13, 16). Despite the predisposition for horizontal gene transfer between bacteriophage genomes (32), there appears to be a specific “marine” aspect to virioplankton assemblages, which are dominated by genes from marine phages and cyanophages in particular (6). Analyses of a large database of short-read (∼100-base) sequences from four oceanic regions estimated that the compositions of virioplankton assemblages were extraordinarily even, that the assemblages contained between 500 and 130,000 genotypes, and that there were significant overlaps in genotype composition between disparate geographic regions (6).

While viral communities in near-shore waters, sediments, and open oceans have been examined (6, 13, 16), the genomes of virioplankton in a highly productive estuarine ecosystem have not been described in detail. Previous investigations characterizing bacterioplankton diversity demonstrated that the variable estuarine environment selects for a unique bacterioplankton assemblage whose composition is temporally and spatially dynamic (25, 34). The earliest demonstrations that virioplankton exhibit seasonally dynamic patterns of abundance (72), diversity, and composition (74, 75) were obtained from studies of the Chesapeake Bay. This report describes an analysis of the first estuarine viral community metagenome from the Chesapeake Bay in terms of the viral community's taxonomic, functional, and genotypic diversity.",,Metagenomic,Aqib Rahim,
,,,,,,,,,,,,Aqib Rahim,
,,,,,,,,,,,,Aqib Rahim,
,,,,,,,,,,,,Aqib Rahim,
,,,,,,,,,,,,Aqib Rahim,
,,,,,,,,,,,,Aqib Rahim,
,,,,,,,,,,,,Aqib Rahim,
,,,,,,,,,,,,Aqib Rahim,
,,,,,,,,,,,,Aqib Rahim,
,,,,,,,,,,,,Aqib Rahim,
Functional genomics of pyrophilous fungi to determine the fate of pyrolyzed carbon in post-fire soils,PRJNA556459,24/7/2019,,,,"unclassified sequences,metagenomes,ecological metagenomes,soil metagenome",,,"Functional genomics of pyrophilous fungi to dissect the breakdown of partially burned organic material, called pyrolyzed organic matter (PyOM) and determine the fate of pyrolyzed carbon in post-fire soils",,Metagenomic,Maria Meza,
Cooccurrence of Broad- And Narrow-Host-Range Viruses Infecting the Bloom-Forming Toxic Cyanobacterium Microcystis Aeruginosa,PRJDB7435,29/8/2019,"Daichi Morimoto,Takashi Yoshida","Daichi Morimoto, Kento Tominaga, Yosuke Nishimura, Naohiro Yoshida, Shigeko Kimura, Yoshihiko Sako,and Takashi Yoshida",Applied and Environmental Microbiology,"Microcystis aeruginosa,cyanobacterial bloom,cyanophages,metatranscriptome,viromes",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6715842/,,"Viruses play important roles in regulating the abundance and composition of bacterial populations in aquatic ecosystems. The bloom-forming toxic cyanobacterium Microcystis aeruginosa is predicted to interact with diverse cyanoviruses, resulting in Microcystis population diversification. However, current knowledge of the genomes from these viruses and their infection programs is limited to those of Microcystis virus Ma-LMM01. Here, we performed a time series sampling at a small pond in Japan during a Microcystis bloom and then investigated the genomic information and transcriptional dynamics of Microcystis-interacting viruses using metagenomic and metatranscriptomic approaches. We identified 15 viral genomic fragments classified into three groups, groups I (including Ma-LMM01), II (high abundance and transcriptional activity), and III (new lineages). According to the phylogenetic distribution of Microcystis strains possessing spacers against each viral group, the group II-original viruses interacted with all three phylogenetically distinct Microcystis population types (phylotypes), whereas the groups I and III-original viruses interacted with only one or two phylotypes, indicating the cooccurrence of broad- (group II) and narrow (groups I and III)-host-range viruses in the bloom. These viral fragments showed the highest transcriptional levels during daytime regardless of their genomic differences. Interestingly, M. aeruginosa expressed antiviral defense genes in the environment, unlike what was seen with an Ma-LMM01 infection in a previous culture experiment. Given that broad-host-range viruses often induce antiviral responses within alternative hosts, our findings suggest that such antiviral responses might inhibit viral multiplication, mainly that of broad-host-range viruses like those in group II.",PRJDB7435.pdf (https://dl.airtable.com/.attachments/b3848b43f0173ad1cb3ff236e6e85493/b213e82a/PRJDB7435.pdf),"Metagenomic,Metatranscriptomic",Maria Meza,
Microbial communities of the Mediterranean rocky shore: ecology and biotechnological potential of the sea‐land transition,PRJNA556782,28/9/2019,"Esther Molina‐Menor,Manuel Porcar","Esther Molina‐Menor, Kristie Tanner,  Àngela Vidal‐Verdú,  Juli Peretó,  Manuel Porcar",Microbial biotechnology,"metagenomes,ecological metagenomes,marine metagenome,extremophilic communities,biotechnology",https://sfamjournals.onlinelibrary.wiley.com/doi/full/10.1111/1751-7915.13475,,"Microbial communities from harsh environments hold great promise as sources of biotechnologically relevant strains and compounds. In the present work, we have characterized the microorganisms from the supralittoral and splash zone in three different rocky locations of the Western Mediterranean coast, a tough environment characterized by high levels of irradiation and large temperature and salinity fluctuations. We have retrieved a complete view of the ecology and functional aspects of these communities and assessed the biotechnological potential of the cultivable microorganisms. All three locations displayed very similar taxonomic profiles, with the genus Rubrobacter and the families Xenococcaceae , Flammeovirgaceae , Phyllobacteriaceae , Rhodobacteraceae and Trueperaceae being the most abundant taxa; and Ascomycota and halotolerant archaea as members of the eukaryotic and archaeal community respectively. In parallel, the culture‐dependent approach yielded a 100‐isolates collection, out of which 12 displayed high antioxidant activities, as evidenced by two in vitro (hydrogen peroxide and DPPH) and confirmed in vivo with Caenorhabditis elegans assays, in which two isolates, CR22 and CR24, resulted in extended survival rates of the nematodes. This work is the first complete characterization of the Mediterranean splash‐zone coastal microbiome, and our results indicate that this microbial niche is home of an extremophilic community that holds biotechnological potential.",PRJNA556782.pdf (https://dl.airtable.com/.attachments/270ef16469841ce010a8ab9f573764a7/f4020334/PRJNA556782.pdf),"Metagenomic,16S/ITS Amplicon",Maria Meza,
Effect of butyric acid glycerol esters on ileal and cecal mucosal and luminal microbiota in chickens challenged with Eimeria maxima,PRJNA556819,3/7/2020,"Monika Proszkowiec-Weglarz,Beverly Russell","Monika Proszkowiec-Weglarz, Katarzyna B. Miska, Lori L. Schreier, Christopher J. Grim, Karen G. Jarvis, Jonathan Shao, Stefan Vaessen, Richard Sygall, Mark C. Jenkins,  Stanislaw Kahl, Beverly Russell",Poultry Science,"16S,microbiota,Butyrate,ileum,cecum,chicken",https://www.sciencedirect.com/science/article/pii/S0032579120303849,,"Coccidiosis is one of the most prevalent diseases seen in the poultry industry leading to excessive economic losses. The aim of this study was to investigate the effect of butyric acid glycerol esters (BE) on the ileal and cecal microbiota in birds challenged with Eimeria maxima (EM). Ross 708 male broilers were fed diet supplemented with 0 (control, C) or 0.25% BE from day (d) 1. On d 21, half of the birds were infected with 103 EM oocysts. For determing microbiota, ileal and cecal contents, and epithelial scrapings were collected at 7 and 10 d post-infection (PI). Alpha diversity of bacterial communities was mostly affected (P<0.05) by time PI and EM infection. The richness of luminal bacterial populations in the ileum and ceca were affected (P<0.05) by addition of BE and by time PIEMBE interaction, respectively. In the ileal and cecal luminal and mucosal bacterial communities, PERMANOVA (Unweighted UniFrac) analysis showed significant (P<0.05) differences due to time PI and interaction between time PI, EM and BE. Significant (P<0.05) differences in taxonomic composition at the family level were observed in microbiota of luminal and mucosal populations of the ileum and ceca due to time PI, EM, BE and their interactions. The bacterial community present in the cecal lumen was characterized by the lowest number of differential bacteria while the cecal mucosal community was characterized by the highest number of differentially abundant bacteria. In conclusion, our results show that EM infection and time PI has the biggest impact on microbial diversity in the chicken gut. The presence of BE in the diet had a limited effect on gut microbiota.",PRJNA556819.pdf (https://dl.airtable.com/.attachments/e896c67220e92a6f9153b9a001c83d98/c0392b2d/PRJNA556819.pdf),"Metagenomic,illumina,16S/ITS Amplicon",Maria Meza,
Lipopolysaccharide Stimulates the Growth of Bacteria That Contribute to Ruminal Acidosis,PRJNA557043,3/2/2020,"Xiaoxia Dai,Antonio P. Faciola","Xiaoxia Dai, Timothy J. Hackmann, Richard R. Lobo, Antonio P. Faciola",Applied and Environmental Microbiology,"LPS,dairy cow,gram-negative bacteria,ruminal bacteria",https://aem.asm.org/content/86/4/e02193-19,,"Lipopolysaccharide (LPS) has been reported to contribute to a ruminal
acidosis of cattle by affecting ruminal bacteria. The goal of this study was to determine how LPS affects the growth of pure cultures of ruminal bacteria, including
those that contribute to ruminal acidosis. We found that dosing LPS (200,000 EU) increased the maximum specific growth rates of four ruminal bacterial species (Streptococcus bovis JB1, Succinivibrio dextrinosolvens 24, Lactobacillus ruminis RF1, and Selenomonas ruminantium HD4). Interestingly, all the species ferment sugars and
produce lactate, contributing to acidosis. Species that consume lactate or ferment fiber were not affected by LPS. We found that S. bovis JB1 failed to grow in LPS as
the carbon source in the media; growth of S. bovis JB1 was increased by LPS when
glucose was present. Growth of Megasphaera elsdenii T81, which consumes lactate,
was not different between the detoxified (lipid A delipidated) and regular LPS. However, the maximum specific growth rate of S. bovis JB1 was greater in regular LPS
than detoxified LPS. Mixed bacteria from a dual-flow continuous culture system were
collected to determine changes of metabolic capabilities of bacteria by LPS, and
genes associated with LPS biosynthesis were increased by LPS. In summary, LPS was
not toxic to bacteria, and lipid A of LPS stimulated the growth of lactate-producing
bacteria. Our results indicate that LPS not only is increased during acidosis but also
may contribute to ruminal acidosis development by increasing the growth of lactic
acid-producing bacteria.",PRJNA557043.pdf (https://dl.airtable.com/.attachments/9a139523e0f8be4f1cd48071452def81/0b5d6758/PRJNA557043.pdf),Metagenomic,Maria Meza,
Analysis of the Microbiome of Rainbow Trout (Oncorhynchus mykiss) Exposed to the Pathogen Flavobacterium psychrophilum 10094,PRJNA557254,19/3/2020,"Natalia Valdés,Mario Tello","Natalia Valdés, Alex Gonzalez, Veronica Garcia, Mario Tello",Microbiology Resource Announcements,"unclassified sequences,metagenomes,organismal metagenomes,fish metagenome",https://mra.asm.org/content/9/12/e01562-19.full,,"Rainbow trout that were resistant or susceptible to Flavobacterium psychrophilum infection were compared with respect to their microbial composition by using 16S rRNA V3-V4 sequencing. The differences occurred in gills, where resistant fish displayed a greater abundance of the phylum Proteobacteria and a smaller proportion of Firmicutes relative to those of susceptible fish.",PRJNA557254.pdf (https://dl.airtable.com/.attachments/1ebe66b52f0a71711a0bcdd94c8ce332/a00622ee/PRJNA557254.pdf),Metagenomic,Maria Meza,
,PRJNA557310,29/7/2019,,,,"unclassified sequences,metagenomes,ecological metagenomes,wastewater metagenome",,,Stress dependent survival strategies commonly indicates that the bacteria resists or tolerates against the toxicity or pollution in environment. That is in this process we can concluded that some particular bacteria are responsible to mitigate the toxicity level,,Metagenomic,Maria Meza,
Southern Chinese populations harbour non-nucleatum Fusobacteria possessing homologues of the colorectal cancer-associated FadA virulence factor ,PRJNA557323,12/2/2020,"Yun Kit Yeoh,Paul K S Chan","Yun Kit Yeoh, Zigui Chen, Martin C S Wong, Mamie Hui, Jun Yu, Siew C Ng, Paul K S ChanFrancis K L Chan,   Joseph J Y Sung, ",Gut,"human gut metagenome,CRC,Fusobacteria,FadA adhesin",https://gut.bmj.com/content/early/2020/02/12/gutjnl-2019-319635,,"Objective: Fusobacteria are not common nor relatively abundant in non-colorectal cancer (CRC) populations, however, we identified multiple Fusobacterium taxa nearly absent in western and rural populations to be comparatively more prevalent and relatively abundant in southern Chinese populations. We investigated whether these represented known or novel lineages in the Fusobacterium genus, and assessed their genomes for features implicated in development of cancer.

Methods: Prevalence and relative abundances of fusobacterial species were calculated from 3157 CRC and non-CRC gut metagenomes representing 16 populations from various biogeographies. Microbial genomes were assembled and compared with existing reference genomes to assess novel fusobacterial diversity. Phylogenetic distribution of virulence genes implicated in CRC was investigated.

Results: Irrespective of CRC disease status, southern Chinese populations harboured increased prevalence (maximum 39% vs 7%) and relative abundances (average 0.4% vs 0.04% of gut community) of multiple recognised and novel fusobacterial taxa phylogenetically distinct from Fusobacterium nucleatum. Genomes assembled from southern Chinese gut metagenomes increased existing fusobacterial diversity by 14.3%. Homologues of the FadA adhesin linked to CRC were consistently detected in several monophyletic lineages sister to and inclusive of F. varium and F. ulcerans, but not F. mortiferum. We also detected increased prevalence and relative abundances of F. varium in CRC compared with non-CRC cohorts, which together with distribution of FadA homologues supports a possible association with gut disease.

Conclusion: The proportion of fusobacteria in guts of southern Chinese populations are higher compared with several western and rural populations in line with the notion of environment/biogeography driving human gut microbiome composition. Several non-nucleatum taxa possess FadA homologues and were enriched in CRC cohorts; whether this imposes a risk in developing CRC and other gut diseases deserves further investigation.",PRJNA557323.pdf (https://dl.airtable.com/.attachments/28f267b8a64bb36b08f5f8df32ceb50b/f925feb8/PRJNA557323.pdf),Metagenomic,Maria Meza,
,PRJNA557331,30/7/2019,,,,"unclassified sequences,metagenomes,organismal metagenomes,mouse gut metagenome",,,Gut bacterial changes in 6-hydroxydopamine (6-OHDA) injected mouse model,,Metagenomic,Maria Meza,
,PRJNA557606,31/7/2019,,,,,,,"This study was carried out to assess the extent of bacterial diversity in corm and shoot tissues of Crocus sativus (saffron). The project was initiated based on the background that only a small fraction of endophytic bacteria are culturable by routine isolation techniques used in laboratory. It is our interest to explore the unculturable endophytic bacterial diversity of Crocus sativus, from which we isolated culturable bacterial endophytes so that we would explore more comprehensive bacterial endophytic microbiome of Crocus sativus. Total DNA was extracted from corm and shoot tissues homogenate of the plant. The DNA samples from corm and shoot (designated as E1 and E2) were used for microbiome data analysis through V3 region profiling of 16S rRNA gene.",,Metagenomic,Maria Meza,
,PRJNA557612,31/7/2019,,,,"unclassified sequences,metagenomes,ecological metagenomes,soil metagenome",,,"Shotgun metagenomic sequencing of soils reclaimed after open-cast coal mining in the Garzweiler mine, Germany. Samples were taken from six sites of different ages, forming a chronosequence spanning 24 years of reclamation. The aim of the study was to analyse potential EPS and LPS producing bacteria which contribute to soil aggregation and structure stabilization during soil formation, as affected by a management regime.",,Metagenomic,Maria Meza,
Study of kefir drinks produced by backslopping method using kefir grains from Bosnia and Herzegovina: Microbial dynamics and volatilome profile,PRJNA557827,1/6/2020,"Cristiana Garofalo,Andrea Osimani","Cristiana Garofaloa, Ilario Ferrocinob, Anna Realec, Riccardo Sabbatinia, Vesna Milanovića,⁎, Mersiha Alkić-Subašićd, Floriana Boscainoc, Lucia Aquilantia, Marina Pasquinia, Maria Federica Trombettaa, Stefano Tavolettia, Raffaele Coppolae, Luca Cocolinb, Milenko Blesićd, Zlatan Sarićd, Francesca Clementia, Andrea Osimania",Food Research International,"Kefir grain microbiota,Backslopped kefir,Physico-chemical parameters,Viable counts,Illumina sequencing,VOCs,SPME-GC/MS",https://www.sciencedirect.com/science/article/abs/pii/S096399692030394X,,"Kefir is a well-known health-promoting beverage that can be produced by using kefir grains (traditional method) or by using natural starter cultures from kefir (backslopping method). The aim of this study was to elucidate the microbial dynamics and volatilome profile occurring during kefir production through traditional and backslopping methods by using five kefir grains that were collected in Bosnia and Herzegovina. The results from conventional pour plating techniques and amplicon-based sequencing were combined. The kefir drinks have also been characterized in terms of their physico-chemical and colorimetric parameters. A bacterial shift from Lactobacillus kefiranofaciens to Acetobacter syzygii, Lactococcus lactis and Leuconostoc pseudomesenteroides from kefir grains in traditional kefir to backslopped kefir was generally observed. Despite some differences within samples, the dominant mycobiota of backslopped kefir samples remained quite similar to that of the kefir grain samples. However, unlike the lactic acid and acetic acid bacteria, the yeast counts decreased progressively from the grains to the backslopped kefir. The backslopped kefir samples showed higher protein, lactose and ash content and lower ethanol content compared to traditional kefir samples, coupled with optimal pH values that contribute to a pleasant sensory profile. Concerning the volatilome, backslopped kefir samples were correlated with cheesy, buttery, floral and fermented odors, whereas the traditional kefir samples were correlated with alcoholic, fruity, fatty and acid odors. Overall, the data obtained in the present study provided evidence that different kefir production methods (traditional vs backslopping) affect the quality characteristics of the final product. Hence, the functional traits of backslopped kefir should be further investigated in order to verify the suitability of a potential scale-up methodology for backslopping.",PRJNA557827.pdf (https://dl.airtable.com/.attachments/f4b14b63b4f7d6ceaec91c85881a1a98/e11010c2/PRJNA557827.pdf),"16S/ITS Amplicon,illumina",Maria Meza,
