,assembled,sample_id,project_id,TMDB_material,creation_date,average_length,sequence_count,basepairs_count,source_database,mean_quality_SRA,quality_above_30_SRA,sample_collection_date,TMDB_biome,project_name,seq_platform,sample_depth,sample_latitude,sample_location,sample_longitude,TMDB_water_location,TMDB_water_type,TMDB_soil_condition,sample_elevation,TMDB_water_condition,TMDB_organic_material,TMDB_soil_type,TMDB_other_material,TMDB_anthropogenic_material,TMDB_soil_location,TMDB_gas,TMDB_sediment,TMDB_sludge,sample_ph,sample_temp
SRR1586251,No,SRS709301,SRX710555,soil,2014-10-06,202.0,42993402.0,8684667204.0,SRA,29.92,73.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.35,,Canada,,,,permafrost,,,,,,,,,,,,
SRR1586252,No,SRS709302,SRX710556,soil,2014-10-06,202.0,30978173.0,6257590946.0,SRA,29.52,72.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.65,,Canada,,,,permafrost,,,,,,,,,,,,
SRR1586258,No,SRS709311,SRX710562,soil,2014-10-06,202.0,44335828.0,8955837256.0,SRA,32.85,84.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.05,,Canada,,,,permafrost,,,,,,,,,,,,
SRR1611935,No,SRS721071,SRX732088,,2014-10-13,200.0,18546059.0,3709211800.0,SRA,32.76,81.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1611943,No,SRS720933,SRX732116,,2014-10-13,200.0,17705468.0,3541093600.0,SRA,33.35,84.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR5855428,Not inferred,SRS2373913,SRX3024648,soil,2017-07-20,300.0,55006491.0,16501947300.0,SRA,36.29,84.0,,,Biological Soil Crust,,,,,,,,,,,,,,,,,,,,
SRR1586259,No,SRS709307,SRX710563,soil,2014-10-06,202.0,32054315.0,6474971630.0,SRA,31.14,77.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.35,,Canada,,,,permafrost,,,,,,,,,,,,
SRR1611955,No,SRS721042,SRX732108,,2014-10-13,200.0,12571026.0,2514205200.0,SRA,31.92,79.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR5855437,Not inferred,SRS2373904,SRX3024639,soil,2017-07-20,300.0,58815338.0,17644601400.0,SRA,35.89,82.0,,,Biological Soil Crust,,,,,,,,,,,,,,,,,,,,
SRR5855433,Not inferred,SRS2373908,SRX3024643,soil,2017-07-20,300.0,55455652.0,16636695600.0,SRA,35.93,83.0,,,Biological Soil Crust,,,,,,,,,,,,,,,,,,,,
SRR5855417,Not inferred,SRS2373924,SRX3024659,soil,2017-07-20,300.0,52397631.0,15719289300.0,SRA,35.38,81.0,,,Biological Soil Crust,,,,,,,,,,,,,,,,,,,,
SRR1586260,No,SRS709309,SRX710564,soil,2014-10-06,202.0,51472238.0,10397392076.0,SRA,29.43,71.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.65,,Canada,,,,permafrost,,,,,,,,,,,,
SRR1611956,No,SRS720860,SRX732104,,2014-10-13,200.0,10845992.0,2169198400.0,SRA,32.57,81.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1612285,No,SRS721047,SRX732064,,2014-10-13,200.0,2402165.0,480433000.0,SRA,37.18,94.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1612588,No,SRS720944,SRX732058,,2014-10-13,200.0,20180474.0,4036094800.0,SRA,32.5,81.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1706143,No,SRS788056,SRX806380,sediment,2015-01-13,202.0,39081656.0,7894494512.0,SRA,31.37,77.0,2012-01-15,urban,Urban waterways sediment Metagenome,ILLUMINA,0.05,1.3188,Singapore,103.7708,,,,15.0,,,,,,,,,,,
SRR1706157,No,SRS788057,SRX806394,sediment,2015-01-13,202.0,29418675.0,5942572350.0,SRA,31.24,76.0,2012-01-15,urban,Urban waterways sediment Metagenome,ILLUMINA,0.05,1.3188,Singapore,103.7708,,,,15.0,,,,,,,,,,,
SRR1706163,No,SRS788058,SRX806400,sediment,2015-01-13,202.0,49714214.0,10042271228.0,SRA,31.5,77.0,2012-01-15,urban,Urban waterways sediment Metagenome,ILLUMINA,0.05,1.3356,Singapore,103.7491,,,,15.0,,,,,,,,,,,
SRR1586261,No,SRS709310,SRX710565,soil,2014-10-06,202.0,30104796.0,6081168792.0,SRA,33.13,85.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.05,,Canada,,,,permafrost,,ice,,,,,,,,,,
SRR1611975,No,SRS720910,SRX732117,,2014-10-13,200.0,17059841.0,3411968200.0,SRA,32.89,82.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1612286,No,SRS721091,SRX732062,,2014-10-13,200.0,2430191.0,486038200.0,SRA,36.77,93.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1612589,No,SRS720924,SRX732053,,2014-10-13,200.0,20389701.0,4077940200.0,SRA,32.46,81.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1706144,No,SRS788056,SRX806381,sediment,2015-01-13,202.0,27746133.0,5604718866.0,SRA,30.91,75.0,2012-01-15,urban,Urban waterways sediment Metagenome,ILLUMINA,0.05,1.3188,Singapore,103.7708,,,,15.0,,,,,,,,,,,
SRR1706158,No,SRS788057,SRX806395,sediment,2015-01-13,202.0,28268995.0,5710336990.0,SRA,31.06,76.0,2012-01-15,urban,Urban waterways sediment Metagenome,ILLUMINA,0.05,1.3188,Singapore,103.7708,,,,15.0,,,,,,,,,,,
SRR1706164,No,SRS788058,SRX806401,sediment,2015-01-13,202.0,45178501.0,9126057202.0,SRA,31.66,78.0,2012-01-15,urban,Urban waterways sediment Metagenome,ILLUMINA,0.05,1.3356,Singapore,103.7491,,,,15.0,,,,,,,,,,,
SRR1706166,No,SRS788058,SRX806403,sediment,2015-01-13,202.0,31070469.0,6276234738.0,SRA,31.33,77.0,2012-01-15,urban,Urban waterways sediment Metagenome,ILLUMINA,0.05,1.3356,Singapore,103.7491,,,,15.0,,,,,,,,,,,
SRR1706167,No,SRS788058,SRX806404,sediment,2015-01-13,202.0,31104966.0,6283203132.0,SRA,31.02,76.0,2012-01-15,urban,Urban waterways sediment Metagenome,ILLUMINA,0.05,1.3356,Singapore,103.7491,,,,15.0,,,,,,,,,,,
SRR1706170,No,SRS788058,SRX806407,sediment,2015-01-13,202.0,51340571.0,10370795342.0,SRA,31.01,76.0,2012-01-15,urban,Urban waterways sediment Metagenome,ILLUMINA,0.05,1.3356,Singapore,103.7491,,,,15.0,,,,,,,,,,,
SRR1586262,No,SRS709312,SRX710566,soil,2014-10-06,202.0,34044815.0,6877052630.0,SRA,32.87,84.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.35,,Canada,,,,permafrost,,ice,,,,,,,,,,
SRR1586263,No,SRS709313,SRX710567,soil,2014-10-06,202.0,37348397.0,7544376194.0,SRA,32.52,83.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.65,,Canada,,,,permafrost,,ice,,,,,,,,,,
SRR1611976,No,SRS721043,SRX732019,,2014-10-13,200.0,21082695.0,4216539000.0,SRA,36.95,93.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR5855438,Not inferred,SRS2373903,SRX3024638,soil,2017-07-20,300.0,50475953.0,15142785900.0,SRA,36.2,84.0,,,Biological Soil Crust,,,,,,,,,,,,,,,,,,,,
SRR1611977,No,SRS721043,SRX732019,,2014-10-13,200.0,21400866.0,4280173200.0,SRA,37.02,93.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR5855414,Not inferred,SRS2373927,SRX3024662,soil,2017-07-20,300.0,62978276.0,18893482800.0,SRA,35.75,82.0,,,Biological Soil Crust,,,,,,,,,,,,,,,,,,,,
SRR1611978,No,SRS720938,SRX732021,,2014-10-13,200.0,21961336.0,4392267200.0,SRA,36.54,92.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1586264,No,SRS709314,SRX710568,soil,2014-10-06,202.0,35661150.0,7203552300.0,SRA,32.79,84.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.8,,Canada,,,,permafrost,,ice,,,,,,,,,,
SRR1611979,No,SRS721038,SRX732023,,2014-10-13,200.0,21069547.0,4213909400.0,SRA,36.72,93.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1612287,No,SRS721091,SRX732062,,2014-10-13,200.0,2476804.0,495360800.0,SRA,36.52,92.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1612590,No,SRS720934,SRX732044,,2014-10-13,200.0,20222833.0,4044566600.0,SRA,32.7,82.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1706145,No,SRS788056,SRX806382,sediment,2015-01-13,202.0,28019524.0,5659943848.0,SRA,30.88,76.0,2012-01-15,urban,Urban waterways sediment Metagenome,ILLUMINA,0.05,1.3188,Singapore,103.7708,,,,15.0,,,,,,,,,,,
SRR1706159,No,SRS788057,SRX806396,sediment,2015-01-13,202.0,31927597.0,6449374594.0,SRA,30.96,75.0,2012-01-15,urban,Urban waterways sediment Metagenome,ILLUMINA,0.05,1.3188,Singapore,103.7708,,,,15.0,,,,,,,,,,,
SRR1706165,No,SRS788058,SRX806402,sediment,2015-01-13,202.0,24984376.0,5046843952.0,SRA,31.45,77.0,2012-01-15,urban,Urban waterways sediment Metagenome,ILLUMINA,0.05,1.3356,Singapore,103.7491,,,,15.0,,,,,,,,,,,
SRR1586265,No,SRS709315,SRX710569,soil,2014-10-06,202.0,50003057.0,10100617514.0,SRA,29.9,73.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.05,,Canada,,,,permafrost,,,,,,,,,,,,
SRR5855420,Not inferred,SRS2373921,SRX3024656,soil,2017-07-20,300.0,58911890.0,17673567000.0,SRA,35.9,83.0,,,Biological Soil Crust,,,,,,,,,,,,,,,,,,,,
SRR1586266,No,SRS709316,SRX710570,soil,2014-10-06,202.0,122156560.0,24675625120.0,SRA,30.86,76.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.65,,Canada,,,,permafrost,,,,,,,,,,,,
SRR1586267,No,SRS709317,SRX710571,soil,2014-10-06,202.0,60588454.0,12238867708.0,SRA,31.32,78.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.8,,Canada,,,,permafrost,,,,,,,,,,,,
SRR1586268,No,SRS709318,SRX710572,soil,2014-10-06,202.0,150218712.0,30344179824.0,SRA,29.03,69.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.05,,Canada,,,,permafrost,,,,,,,,,,,,
SRR1611980,No,SRS721056,SRX732025,,2014-10-13,200.0,20199378.0,4039875600.0,SRA,36.43,92.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR5855431,Not inferred,SRS2373910,SRX3024645,soil,2017-07-20,300.0,47536437.0,14260931100.0,SRA,35.94,83.0,,,Biological Soil Crust,,,,,,,,,,,,,,,,,,,,
SRR1611981,No,SRS721038,SRX732023,,2014-10-13,200.0,21153952.0,4230790400.0,SRA,36.16,91.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1611983,No,SRS721062,SRX732106,,2014-10-13,200.0,6310453.0,1262090600.0,SRA,31.76,79.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1586269,No,SRS709319,SRX710573,soil,2014-10-06,202.0,100823509.0,20366348818.0,SRA,31.21,78.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.65,,Canada,,,,permafrost,,,,,,,,,,,,
SRR1611984,No,SRS720874,SRX732107,,2014-10-13,200.0,6753405.0,1350681000.0,SRA,33.32,84.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1586270,No,SRS709320,SRX710574,soil,2014-10-06,202.0,75510168.0,15253053936.0,SRA,30.42,75.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.8,,Canada,,,,permafrost,,,,,,,,,,,,
SRR1586271,No,SRS709321,SRX710575,soil,2014-10-06,202.0,81497885.0,16462572770.0,SRA,31.11,77.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.05,,Canada,,,,permafrost,,,,,,,,,,,,
SRR1586272,No,SRS709322,SRX710576,soil,2014-10-06,202.0,24689388.0,4987256376.0,SRA,30.79,77.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.65,,Canada,,,,permafrost,,,,,,,,,,,,
SRR1611985,No,SRS721062,SRX732106,,2014-10-13,200.0,6282033.0,1256406600.0,SRA,32.03,80.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1586273,No,SRS709324,SRX710577,soil,2014-10-06,202.0,10585357.0,2138242114.0,SRA,28.74,69.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.8,,Canada,,,,permafrost,,,,,,,,,,,,
SRR1586274,No,SRS709323,SRX710578,soil,2014-10-06,202.0,75117832.0,15173802064.0,SRA,30.32,74.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.05,,Canada,,,,permafrost,,ice,,,,,,,,,,
SRR1611991,No,SRS721072,SRX732092,,2014-10-13,200.0,40817757.0,8163551400.0,SRA,33.98,85.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1586275,No,SRS709325,SRX710579,soil,2014-10-06,202.0,46256820.0,9343877640.0,SRA,29.17,70.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.65,,Canada,,,,permafrost,,ice,,,,,,,,,,
SRR1611992,No,SRS720867,SRX732115,,2014-10-13,200.0,17082215.0,3416443000.0,SRA,32.5,81.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1586276,No,SRS709330,SRX710580,soil,2014-10-06,202.0,94868186.0,19163373572.0,SRA,31.76,80.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.8,,Canada,,,,permafrost,,ice,,,,,,,,,,
SRR1611997,No,SRS721067,SRX732020,,2014-10-13,200.0,23533732.0,4706746400.0,SRA,36.5,92.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1586277,No,SRS709326,SRX710581,soil,2014-10-06,202.0,48642705.0,9825826410.0,SRA,31.44,78.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.05,,Canada,,,,permafrost,,,,,,,,,,,,
SRR1586278,No,SRS709327,SRX710582,soil,2014-10-06,202.0,53256354.0,10757783508.0,SRA,31.44,79.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.65,,Canada,,,,permafrost,,,,,,,,,,,,
SRR1586279,No,SRS709328,SRX710583,soil,2014-10-06,202.0,124338373.0,25116351346.0,SRA,30.99,77.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.8,,Canada,,,,permafrost,,,,,,,,,,,,
SRR1611998,No,SRS721067,SRX732020,,2014-10-13,200.0,23252006.0,4650401200.0,SRA,36.49,92.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1586280,No,SRS709329,SRX710584,soil,2014-10-06,202.0,38003887.0,7676785174.0,SRA,33.44,86.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.05,,Canada,,,,permafrost,,,,,,,,,,,,
SRR1586281,No,SRS709331,SRX710585,soil,2014-10-06,202.0,23239239.0,4694326278.0,SRA,33.25,86.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.35,,Canada,,,,permafrost,,,,,,,,,,,,
SRR1611999,No,SRS721046,SRX732022,,2014-10-13,200.0,22676856.0,4535371200.0,SRA,34.13,85.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1586282,No,SRS709332,SRX710586,soil,2014-10-06,202.0,28125423.0,5681335446.0,SRA,33.71,87.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.65,,Canada,,,,permafrost,,,,,,,,,,,,
SRR1586283,No,SRS709333,SRX710587,soil,2014-10-06,202.0,33923864.0,6852620528.0,SRA,28.26,68.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.05,,Canada,,,,permafrost,,,,,,,,,,,,
SRR1612000,No,SRS721069,SRX732027,,2014-10-13,200.0,25756428.0,5151285600.0,SRA,34.88,88.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1586284,No,SRS709334,SRX710588,soil,2014-10-06,202.0,74287692.0,15006113784.0,SRA,28.41,68.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.35,,Canada,,,,permafrost,,,,,,,,,,,,
SRR1586290,No,SRS709339,SRX710594,soil,2014-10-06,202.0,28603862.0,5777980124.0,SRA,32.44,83.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.8,,Canada,,,,permafrost,,,,,,,,,,,,
SRR1612007,No,SRS721096,SRX732030,,2014-10-13,200.0,26107643.0,5221528600.0,SRA,36.93,93.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1586291,No,SRS709340,SRX710595,soil,2014-10-06,202.0,28122124.0,5680669048.0,SRA,33.29,86.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.05,,Canada,,,,permafrost,,ice,,,,,,,,,,
SRR1612008,No,SRS720898,SRX732122,,2014-10-13,200.0,16901080.0,3380216000.0,SRA,32.64,82.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1586292,No,SRS709343,SRX710596,soil,2014-10-06,202.0,25572730.0,5165691460.0,SRA,33.01,85.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.35,,Canada,,,,permafrost,,ice,,,,,,,,,,
SRR1586293,No,SRS709342,SRX710597,soil,2014-10-06,202.0,37998234.0,7675643268.0,SRA,33.26,86.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.65,,Canada,,,,permafrost,,ice,,,,,,,,,,
SRR1586294,No,SRS709344,SRX710598,soil,2014-10-06,202.0,31400736.0,6342948672.0,SRA,32.97,85.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.8,,Canada,,,,permafrost,,ice,,,,,,,,,,
SRR1612009,No,SRS721045,SRX732031,,2014-10-13,200.0,30406535.0,6081307000.0,SRA,36.34,92.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1612010,No,SRS721039,SRX732032,,2014-10-13,200.0,26768331.0,5353666200.0,SRA,36.51,92.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1586295,No,SRS709345,SRX710599,soil,2014-10-06,202.0,30878280.0,6237412560.0,SRA,32.85,84.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.05,,Canada,,,,permafrost,,,,,,,,,,,,
SRR1586296,No,SRS709346,SRX710600,soil,2014-10-06,202.0,28468800.0,5750697600.0,SRA,32.48,83.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.35,,Canada,,,,permafrost,,,,,,,,,,,,
SRR1586297,No,SRS709347,SRX710601,soil,2014-10-06,202.0,59189134.0,11956205068.0,SRA,32.56,83.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.65,,Canada,,,,permafrost,,,,,,,,,,,,
SRR1586298,No,SRS709348,SRX710602,soil,2014-10-06,202.0,39376157.0,7953983714.0,SRA,32.07,82.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.8,,Canada,,,,permafrost,,,,,,,,,,,,
SRR1612011,No,SRS721075,SRX732033,,2014-10-13,200.0,27156077.0,5431215400.0,SRA,35.8,90.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1612012,No,SRS721075,SRX732033,,2014-10-13,200.0,27409181.0,5481836200.0,SRA,35.68,90.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1586299,No,SRS709349,SRX710603,soil,2014-10-06,202.0,34453961.0,6959700122.0,SRA,31.93,81.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.05,,Canada,,,,permafrost,,,,,,,,,,,,
SRR1612013,No,SRS721052,SRX732034,,2014-10-13,200.0,23661751.0,4732350200.0,SRA,35.23,88.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1612288,No,SRS721076,SRX732061,,2014-10-13,200.0,1939279.0,387855800.0,SRA,37.52,95.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1586300,No,SRS709350,SRX710604,soil,2014-10-06,202.0,21081936.0,4258551072.0,SRA,34.42,90.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.35,,Canada,,,,permafrost,,,,,,,,,,,,
SRR1612014,No,SRS721093,SRX732036,,2014-10-13,200.0,27691658.0,5538331600.0,SRA,36.29,92.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1612293,No,SRS720870,SRX732063,,2014-10-13,200.0,2300038.0,460007600.0,SRA,36.65,93.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR1612591,No,SRS720902,SRX732057,,2014-10-13,200.0,20799196.0,4159839200.0,SRA,33.03,83.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
SRR332546,No,SRS258332,SRX092653,,2011-08-22,526.0,454384.0,239157014.0,SRA,27.45,50.0,,,wasp metagenome,LS454,,,,,,,,,,wood,,,,,,,,,
SRR1586301,No,SRS709352,SRX710605,soil,2014-10-06,202.0,18928909.0,3823639618.0,SRA,34.53,90.0,,tundra,Canadian High Artic Metagenomes,ILLUMINA,0.65,,Canada,,,,permafrost,,,,,,,,,,,,
SRR1612015,No,SRS721093,SRX732036,,2014-10-13,200.0,27435391.0,5487078200.0,SRA,36.62,92.0,,forest,Wake Forest Vervet Microbiome Project,ILLUMINA,,,,,,,,,,,,,,,,,,,
DRR000019,No,DRS000009,DRX000009,water,2011-03-30,257.0,11052.0,2838707.0,SRA,27.3,22.0,,,Subsurface mine microbial mat metagenome,LS454,,,,,,,,,,,,,,,,,,,
